name,address,comuna,prioridad,nota,lat,lon
Cobalto Coffee & Colab,"Marchant Pereira 3360, Ñuñoa, Chile",nunoa,alta,Especialidad + arte; sin tostar propio aparente,-33.4522232,-70.607158
Café del Barrio,"Av. Irarrázaval 4130, Ñuñoa, Chile",nunoa,alta,Especialidad vegana; ha mencionado buscar proveedor specialty,-33.4554107,-70.587722
Seis Siete Ocho,"Av. Irarrázaval 3601, Ñuñoa, Chile",nunoa,media,Especialidad familiar; verificar si tuestan,-33.4556651,-70.5930087
Tolima Coffee,"Av. Irarrázaval 1989, Ñuñoa, Chile",nunoa,alta,Especialidad en eje Irarrázaval,-33.4537262,-70.6103492
Patonejo Hamburgo,"Hamburgo 1818, Ñuñoa, Chile",nunoa,alta,Bollería + café specialty; buen volumen,-33.4380329,-70.5782011
Patonejo Villaseca,"Villaseca 439, Ñuñoa, Chile",nunoa,alta,Formato takeaway/bollería,-33.4504226,-70.6035679
Casaciencafe,"Eliecer Parada 2439, Ñuñoa, Chile",nunoa,alta,Café de barrio en ruta specialty,-33.4345788,-70.582634
Café Rayo Negro,"Av. Irarrázaval 1309, Ñuñoa, Chile",nunoa,alta,Especialidad; zona Plaza Ñuñoa/Irarrázaval,-33.4535635,-70.6223843
Bourbon Coffee Sip,"Jaime Guzmán Errázuriz 3399, Ñuñoa, Chile",nunoa,media,Especialidad; verificar proveedor actual,-33.4474367,-70.5936065
ID Coffee,"Caupolicán 521, Ñuñoa, Chile",nunoa,competencia,Tuesta propio / filtrados de origen,-33.4482791,-70.6234541
Espíritu Natural Coffee Roasters,"Av. Irarrázaval 4645, Ñuñoa, Chile",nunoa,competencia,Tostaduría + cafetería,-33.4558,-70.5825
Casa Tateti,"Av. Echeñique 6705, La Reina, Chile",la_reina,alta,Café familiar alto flujo; no es tostadora,-33.4444787,-70.562173
Delaní Coffee & Beer,"Av. Echeñique 5839, La Reina, Chile",la_reina,alta,Café de barrio; buen prospecto B2B,-33.4455087,-70.5706304
Amasa Bakery,"José Zapiola 8500, La Reina, Chile",la_reina,alta,Panadería/café; suele comprar grano,-33.4494459,-70.5535948
Tavelli La Reina,"Av. Príncipe de Gales 6543, La Reina, Chile",la_reina,baja,Cadena; compras centralizadas,-33.4379162,-70.5731973
Amapola Café,"Av. Grecia 8735, Peñalolén, Chile",penalolen,alta,Especialidad en Peñalolén,-33.4766898,-70.5426274
Casa Turquesa,"Av. Consistorial 2701, Peñalolén, Chile",penalolen,media,Cafetería + tienda natural,-33.4833658,-70.5477699
Thani,"Av. Quilín 5305, Peñalolén, Chile",penalolen,media,Panadería/pastelería con café,-33.4905312,-70.5763523
